,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words,year
b160,bang bang my baby shot me down,cher,6,40,38,4,28,34,6,36,30,6,30,95,46,19,6.315789474,42.10526316,40,4.210526316,29.47368421,35.78947368,6.315789474,37.89473684,31.57894737,6.315789474,31.57894737,100,48.42105263,20,1966
b161,sloop john b,the beach boys,5,23,3,0,7,12,0,12,2,5,107,165,28,30,3.03030303,13.93939394,1.818181818,0,4.242424242,7.272727273,0,7.272727273,1.212121212,3.03030303,64.84848485,100,16.96969697,18.18181818,1966
b162,19th nervous breakdown,the rolling stones,9,20,6,7,6,9,8,9,1,9,91,160,29,40,5.625,12.5,3.75,4.375,3.75,5.625,5,5.625,0.625,5.625,56.875,100,18.125,25,1966
b163,wipe out,the surfaris,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,75,100,0,25,1966
b164,psychotic reaction,count five,6,4,3,0,2,3,4,3,2,1,32,59,10,17,10.16949153,6.779661017,5.084745763,0,3.389830508,5.084745763,6.779661017,5.084745763,3.389830508,1.694915254,54.23728814,100,16.94915254,28.81355932,1966
b165,beauty is only skin deep,the temptations,24,6,3,7,2,3,22,2,2,9,75,140,30,35,17.14285714,4.285714286,2.142857143,5,1.428571429,2.142857143,15.71428571,1.428571429,1.428571429,6.428571429,53.57142857,100,21.42857143,25,1966
b166,no matter what shape your stomachs in,the tbones,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1966
b167,just like me,paul revere  the raiders,6,9,4,2,6,4,6,7,4,2,39,66,15,12,9.090909091,13.63636364,6.060606061,3.03030303,9.090909091,6.060606061,9.090909091,10.60606061,6.060606061,3.03030303,59.09090909,100,22.72727273,18.18181818,1966
b168,love makes the world go round,deon jackson,21,4,1,8,4,1,18,2,3,8,40,89,25,24,23.59550562,4.494382022,1.123595506,8.988764045,4.494382022,1.123595506,20.2247191,2.247191011,3.370786517,8.988764045,44.94382022,100,28.08988764,26.96629213,1966
b169,the pied piper,crispian st peters,2,3,2,0,2,3,1,3,0,5,42,72,5,25,2.777777778,4.166666667,2.777777778,0,2.777777778,4.166666667,1.388888889,4.166666667,0,6.944444444,58.33333333,100,6.944444444,34.72222222,1966
b170,coming on strong,brenda lee,2,9,2,13,2,6,2,8,1,0,40,73,11,22,2.739726027,12.32876712,2.739726027,17.80821918,2.739726027,8.219178082,2.739726027,10.95890411,1.369863014,0,54.79452055,100,15.06849315,30.1369863,1966
b171,somewhere my love,ray conniff singers,13,0,0,7,0,2,12,1,4,7,16,50,13,21,26,0,0,14,0,4,24,2,8,14,32,100,26,42,1966
b172,almost persuaded,david houston,4,4,0,1,0,0,3,3,1,2,26,54,8,20,7.407407407,7.407407407,0,1.851851852,0,0,5.555555556,5.555555556,1.851851852,3.703703704,48.14814815,100,14.81481481,37.03703704,1966
b173,if i were a carpenter,bobby darin,9,4,1,4,1,6,9,3,3,5,34,65,13,18,13.84615385,6.153846154,1.538461538,6.153846154,1.538461538,9.230769231,13.84615385,4.615384615,4.615384615,7.692307692,52.30769231,100,20,27.69230769,1966
b174,dont mess with bill,the marvelettes,2,21,2,5,20,2,0,3,0,2,82,138,23,33,1.449275362,15.2173913,1.449275362,3.623188406,14.49275362,1.449275362,0,2.173913043,0,1.449275362,59.42028986,100,16.66666667,23.91304348,1966
b175,cherry cherry,neil diamond,17,0,0,5,0,0,9,1,2,2,72,118,17,29,14.40677966,0,0,4.237288136,0,0,7.627118644,0.847457627,1.694915254,1.694915254,61.01694915,100,14.40677966,24.57627119,1966
b176,working in the coal mine,lee dorsey,30,22,0,6,4,12,2,12,0,4,66,190,52,72,15.78947368,11.57894737,0,3.157894737,2.105263158,6.315789474,1.052631579,6.315789474,0,2.105263158,34.73684211,100,27.36842105,37.89473684,1966
b177,message to michael,dionne warwick,5,1,0,3,0,0,2,1,1,1,62,102,6,34,4.901960784,0.980392157,0,2.941176471,0,0,1.960784314,0.980392157,0.980392157,0.980392157,60.78431373,100,5.882352941,33.33333333,1966
b178,love is a hurtin thing,lou rawls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966
b179,barbara ann,the beach boys,2,2,2,2,0,1,2,3,2,2,62,72,4,6,2.777777778,2.777777778,2.777777778,2.777777778,0,1.388888889,2.777777778,4.166666667,2.777777778,2.777777778,86.11111111,100,5.555555556,8.333333333,1966
b180,gloria,shadows of knight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966
b181,my world is empty without you,the supremes,6,5,2,1,0,5,4,4,0,2,53,96,11,32,6.25,5.208333333,2.083333333,1.041666667,0,5.208333333,4.166666667,4.166666667,0,2.083333333,55.20833333,100,11.45833333,33.33333333,1966
b182,rainy day women 12  35,bob dylan,6,27,20,5,0,2,4,1,5,2,88,140,33,19,4.285714286,19.28571429,14.28571429,3.571428571,0,1.428571429,2.857142857,0.714285714,3.571428571,1.428571429,62.85714286,100,23.57142857,13.57142857,1966
b183,guantanamera,the sandpipers,0,0,0,0,0,0,0,0,0,0,77,79,0,2,0,0,0,0,0,0,0,0,0,0,97.46835443,100,0,2.53164557,1966
b184,land of 1000 dances,wilson pickett,3,1,2,7,0,2,2,0,4,3,69,94,4,21,3.191489362,1.063829787,2.127659574,7.446808511,0,2.127659574,2.127659574,0,4.255319149,3.191489362,73.40425532,100,4.255319149,22.34042553,1966
b185,oh how happy,the shades of blue,22,2,0,18,0,1,21,0,0,16,42,76,24,10,28.94736842,2.631578947,0,23.68421053,0,1.315789474,27.63157895,0,0,21.05263158,55.26315789,100,31.57894737,13.15789474,1966
b186,woman,peter and gordon,5,3,1,2,1,1,5,3,1,0,40,69,8,21,7.246376812,4.347826087,1.449275362,2.898550725,1.449275362,1.449275362,7.246376812,4.347826087,1.449275362,0,57.97101449,100,11.5942029,30.43478261,1966
b187,you baby,the turtles,16,5,1,2,1,1,11,3,1,1,118,172,21,33,9.302325581,2.906976744,0.581395349,1.162790698,0.581395349,0.581395349,6.395348837,1.744186047,0.581395349,0.581395349,68.60465116,100,12.20930233,19.18604651,1966
b188,five oclock world,the vogues,8,3,3,6,0,2,2,0,1,3,60,93,11,22,8.602150538,3.225806452,3.225806452,6.451612903,0,2.150537634,2.150537634,0,1.075268817,3.225806452,64.51612903,100,11.82795699,23.65591398,1966
b189,black is black,los bravos,6,7,3,3,7,3,6,12,2,3,54,86,13,19,6.976744186,8.139534884,3.488372093,3.488372093,8.139534884,3.488372093,6.976744186,13.95348837,2.325581395,3.488372093,62.79069767,100,15.11627907,22.09302326,1966
b190,nowhere man,the beatles,4,5,0,7,0,3,0,4,1,2,56,94,9,29,4.255319149,5.319148936,0,7.446808511,0,3.191489362,0,4.255319149,1.063829787,2.127659574,59.57446809,100,9.574468085,30.85106383,1966
b191,dandy,hermans hermits,3,12,1,4,9,1,2,0,1,1,64,101,15,22,2.97029703,11.88118812,0.99009901,3.96039604,8.910891089,0.99009901,1.98019802,0,0.99009901,0.99009901,63.36633663,100,14.85148515,21.78217822,1966
b192,baby scratch my back,slim harpo,7,1,1,3,0,1,7,0,3,3,26,42,8,8,16.66666667,2.380952381,2.380952381,7.142857143,0,2.380952381,16.66666667,0,7.142857143,7.142857143,61.9047619,100,19.04761905,19.04761905,1966
b193,shes just my style,gary lewis  the playboys,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1966
b194,the more i see you,chris montez,2,3,2,3,2,2,2,3,1,1,16,27,5,6,7.407407407,11.11111111,7.407407407,11.11111111,7.407407407,7.407407407,7.407407407,11.11111111,3.703703704,3.703703704,59.25925926,100,18.51851852,22.22222222,1966
b195,i fought the law,bobby fuller four,7,0,2,4,0,0,7,0,5,27,36,81,7,38,8.641975309,0,2.469135802,4.938271605,0,0,8.641975309,0,6.172839506,33.33333333,44.44444444,100,8.641975309,46.91358025,1966
b196,yellow submarine,the beatles,26,0,0,2,0,1,6,2,1,8,31,133,26,76,19.54887218,0,0,1.503759398,0,0.751879699,4.511278195,1.503759398,0.751879699,6.015037594,23.30827068,100,19.54887218,57.14285714,1966
b197,hungry,paul revere  the raiders,24,18,2,24,3,5,20,3,12,18,72,156,42,42,15.38461538,11.53846154,1.282051282,15.38461538,1.923076923,3.205128205,12.82051282,1.923076923,7.692307692,11.53846154,46.15384615,100,26.92307692,26.92307692,1966
b198,zorba the greek,herb alpert and the tijuana brass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966
b199,shapes of things,the yardbirds,9,4,6,11,4,2,5,6,3,5,28,68,13,27,13.23529412,5.882352941,8.823529412,16.17647059,5.882352941,2.941176471,7.352941176,8.823529412,4.411764706,7.352941176,41.17647059,100,19.11764706,39.70588235,1966
b200,6345789 soulsville usa,wilson pickett,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1966
b201,to sir with love,lulu,9,3,1,3,1,1,3,2,1,6,39,74,12,23,12.16216216,4.054054054,1.351351351,4.054054054,1.351351351,1.351351351,4.054054054,2.702702703,1.351351351,8.108108108,52.7027027,100,16.21621622,31.08108108,1967
b202,the letter,the box tops,9,4,5,8,4,4,9,4,1,1,72,114,13,29,7.894736842,3.50877193,4.385964912,7.01754386,3.50877193,3.50877193,7.894736842,3.50877193,0.877192982,0.877192982,63.15789474,100,11.40350877,25.43859649,1967
b203,ode to billie joe,bobbie gentry,12,6,1,5,3,2,5,3,2,7,100,165,18,47,7.272727273,3.636363636,0.606060606,3.03030303,1.818181818,1.212121212,3.03030303,1.818181818,1.212121212,4.242424242,60.60606061,100,10.90909091,28.48484848,1967
b204,windy,the association,0,16,8,0,2,2,0,8,0,0,58,125,16,51,0,12.8,6.4,0,1.6,1.6,0,6.4,0,0,46.4,100,12.8,40.8,1967
b205,im a believer,the monkees,7,8,0,2,2,5,6,8,1,10,45,85,15,25,8.235294118,9.411764706,0,2.352941176,2.352941176,5.882352941,7.058823529,9.411764706,1.176470588,11.76470588,52.94117647,100,17.64705882,29.41176471,1967
b206,light my fire,the doors,15,1,1,5,1,3,14,0,3,6,55,114,16,43,13.15789474,0.877192982,0.877192982,4.385964912,0.877192982,2.631578947,12.28070175,0,2.631578947,5.263157895,48.24561404,100,14.03508772,37.71929825,1967
b207,somethin stupid,frank  nancy sinatra,6,8,2,4,4,3,3,4,1,2,37,79,14,28,7.594936709,10.12658228,2.53164557,5.063291139,5.063291139,3.797468354,3.797468354,5.063291139,1.265822785,2.53164557,46.83544304,100,17.72151899,35.44303797,1967
b208,happy together,the turtles,20,0,0,12,0,0,17,2,0,14,35,78,20,23,25.64102564,0,0,15.38461538,0,0,21.79487179,2.564102564,0,17.94871795,44.87179487,100,25.64102564,29.48717949,1967
b209,groovin,the young rascals,5,0,0,5,0,0,4,0,2,1,53,77,5,19,6.493506494,0,0,6.493506494,0,0,5.194805195,0,2.597402597,1.298701299,68.83116883,100,6.493506494,24.67532468,1967
b210,cant take my eyes off you,frankie valli,39,5,3,17,2,8,38,4,7,20,79,148,44,25,26.35135135,3.378378378,2.027027027,11.48648649,1.351351351,5.405405405,25.67567568,2.702702703,4.72972973,13.51351351,53.37837838,100,29.72972973,16.89189189,1967
b211,little bit o soul,the music explosion,2,6,1,3,1,3,1,3,1,1,51,86,8,27,2.325581395,6.976744186,1.162790698,3.488372093,1.162790698,3.488372093,1.162790698,3.488372093,1.162790698,1.162790698,59.30232558,100,9.302325581,31.39534884,1967
b212,i think were alone now,tommy james and the shondells,6,2,2,5,1,2,1,2,1,2,35,59,8,16,10.16949153,3.389830508,3.389830508,8.474576271,1.694915254,3.389830508,1.694915254,3.389830508,1.694915254,3.389830508,59.3220339,100,13.55932203,27.11864407,1967
b213,respect,aretha franklin,17,6,3,10,1,1,15,1,4,9,106,155,23,26,10.96774194,3.870967742,1.935483871,6.451612903,0.64516129,0.64516129,9.677419355,0.64516129,2.580645161,5.806451613,68.38709677,100,14.83870968,16.77419355,1967
b214,i was made to love her,stevie wonder,29,6,3,10,4,5,27,4,3,6,78,141,35,28,20.56737589,4.255319149,2.127659574,7.092198582,2.836879433,3.546099291,19.14893617,2.836879433,2.127659574,4.255319149,55.31914894,100,24.82269504,19.85815603,1967
b215,come back when you grow up,bobby vee,25,4,0,17,0,0,23,4,1,15,78,150,29,43,16.66666667,2.666666667,0,11.33333333,0,0,15.33333333,2.666666667,0.666666667,10,52,100,19.33333333,28.66666667,1967
b216,kind of a drag,the buckinghams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1967
b217,sweet soul music,arthur conley,12,2,1,7,0,2,10,5,5,4,89,113,14,10,10.61946903,1.769911504,0.884955752,6.194690265,0,1.769911504,8.849557522,4.424778761,4.424778761,3.539823009,78.76106195,100,12.38938053,8.849557522,1967
