,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words,year
b2390,cant stay away from you,gloria estefan and miami sound machine,15,9,3,4,1,10,8,9,1,7,85,133,24,24,11.27819549,6.766917293,2.255639098,3.007518797,0.751879699,7.518796992,6.015037594,6.766917293,0.751879699,5.263157895,63.90977444,100,18.04511278,18.04511278,1988
b2391,kissing a fool,george michael,12,15,8,15,10,10,11,9,5,7,80,141,27,34,8.510638298,10.63829787,5.673758865,10.63829787,7.092198582,7.092198582,7.80141844,6.382978723,3.546099291,4.964539007,56.73758865,100,19.14893617,24.11347518,1988
b2392,cherry bomb,john cougar mellencamp,21,4,3,5,0,3,15,3,11,9,127,189,25,37,11.11111111,2.116402116,1.587301587,2.645502646,0,1.587301587,7.936507937,1.587301587,5.82010582,4.761904762,67.1957672,100,13.22751323,19.57671958,1988
b2393,i still believe,brenda k starr,12,4,2,4,1,3,11,2,1,1,42,87,16,29,13.79310345,4.597701149,2.298850575,4.597701149,1.149425287,3.448275862,12.64367816,2.298850575,1.149425287,1.149425287,48.27586207,100,18.3908046,33.33333333,1988
b2394,i found someone,cher,12,14,6,3,2,9,11,11,2,7,87,129,26,16,9.302325581,10.85271318,4.651162791,2.325581395,1.550387597,6.976744186,8.527131783,8.527131783,1.550387597,5.426356589,67.44186047,100,20.15503876,12.40310078,1988
b2395,never tear us apart,inxs,7,1,1,1,0,1,2,1,1,0,49,68,8,11,10.29411765,1.470588235,1.470588235,1.470588235,0,1.470588235,2.941176471,1.470588235,1.470588235,0,72.05882353,100,11.76470588,16.17647059,1988
b2396,valerie,steve winwood,9,9,1,5,5,1,6,5,4,5,51,97,18,28,9.278350515,9.278350515,1.030927835,5.154639175,5.154639175,1.030927835,6.18556701,5.154639175,4.12371134,5.154639175,52.57731959,100,18.55670103,28.86597938,1988
b2397,just like paradise,david lee roth,6,2,1,2,0,4,3,3,2,3,140,170,8,22,3.529411765,1.176470588,0.588235294,1.176470588,0,2.352941176,1.764705882,1.764705882,1.176470588,1.764705882,82.35294118,100,4.705882353,12.94117647,1988
b2398,nothin but a good time,poison,15,7,2,20,1,0,13,0,14,12,96,153,22,35,9.803921569,4.575163399,1.307189542,13.07189542,0.653594771,0,8.496732026,0,9.150326797,7.843137255,62.74509804,100,14.37908497,22.87581699,1988
b2399,wait,white lion,13,25,0,21,0,6,12,6,6,4,63,134,38,33,9.701492537,18.65671642,0,15.67164179,0,4.47761194,8.955223881,4.47761194,4.47761194,2.985074627,47.01492537,100,28.35820896,24.62686567,1988
b2400,prove your love,taylor dayne,31,15,7,4,1,7,18,8,0,8,89,166,46,31,18.6746988,9.036144578,4.21686747,2.409638554,0.602409639,4.21686747,10.84337349,4.819277108,0,4.819277108,53.61445783,100,27.71084337,18.6746988,1988
b2401,look away,chicago,23,5,3,9,0,1,21,1,2,10,138,183,28,17,12.56830601,2.732240437,1.639344262,4.918032787,0,0.546448087,11.47540984,0.546448087,1.092896175,5.464480874,75.40983607,100,15.30054645,9.289617486,1989
b2402,my prerogative,bobby brown,13,10,7,4,2,6,3,5,5,5,153,232,23,56,5.603448276,4.310344828,3.017241379,1.724137931,0.862068966,2.586206897,1.293103448,2.155172414,2.155172414,2.155172414,65.94827586,100,9.913793103,24.13793103,1989
b2403,every rose has its thorn,poison,10,13,7,3,5,6,8,7,5,6,82,143,23,38,6.993006993,9.090909091,4.895104895,2.097902098,3.496503497,4.195804196,5.594405594,4.895104895,3.496503497,4.195804196,57.34265734,100,16.08391608,26.57342657,1989
b2404,straight up,paula abdul,20,9,7,10,3,2,17,1,0,2,133,208,29,46,9.615384615,4.326923077,3.365384615,4.807692308,1.442307692,0.961538462,8.173076923,0.480769231,0,0.961538462,63.94230769,100,13.94230769,22.11538462,1989
b2405,miss you much,janet jackson,19,12,11,5,9,11,16,11,2,4,111,196,31,54,9.693877551,6.12244898,5.612244898,2.551020408,4.591836735,5.612244898,8.163265306,5.612244898,1.020408163,2.040816327,56.63265306,100,15.81632653,27.55102041,1989
b2406,cold hearted,paula abdul,10,36,8,8,24,13,8,9,1,13,125,233,46,62,4.291845494,15.45064378,3.433476395,3.433476395,10.30042918,5.579399142,3.433476395,3.862660944,0.429184549,5.579399142,53.64806867,100,19.74248927,26.60944206,1989
b2407,wind beneath my wings,bette midler,14,1,0,6,0,2,9,0,4,12,69,134,15,50,10.44776119,0.746268657,0,4.47761194,0,1.492537313,6.71641791,0,2.985074627,8.955223881,51.49253731,100,11.19402985,37.31343284,1989
b2408,girl you know its true,milli vanilli,30,4,2,9,3,4,25,2,5,12,105,184,34,45,16.30434783,2.173913043,1.086956522,4.891304348,1.630434783,2.173913043,13.58695652,1.086956522,2.717391304,6.52173913,57.06521739,100,18.47826087,24.45652174,1989
b2409,baby i love your wayfreebird medley,will to power,31,9,0,8,0,8,29,8,2,2,79,147,40,28,21.08843537,6.12244898,0,5.442176871,0,5.442176871,19.72789116,5.442176871,1.360544218,1.360544218,53.7414966,100,27.21088435,19.04761905,1989
b2410,giving you the best that i got,anita baker,24,9,3,9,1,6,14,4,3,8,89,147,33,25,16.32653061,6.12244898,2.040816327,6.12244898,0.680272109,4.081632653,9.523809524,2.721088435,2.040816327,5.442176871,60.54421769,100,22.44897959,17.00680272,1989
b2411,right here waiting,richard marx,6,2,2,4,1,3,4,2,5,1,54,88,8,26,6.818181818,2.272727273,2.272727273,4.545454545,1.136363636,3.409090909,4.545454545,2.272727273,5.681818182,1.136363636,61.36363636,100,9.090909091,29.54545455,1989
b2412,waiting for a star to fall,boy meets girl,19,9,2,10,2,3,16,6,6,5,50,117,28,39,16.23931624,7.692307692,1.709401709,8.547008547,1.709401709,2.564102564,13.67521368,5.128205128,5.128205128,4.273504274,42.73504274,100,23.93162393,33.33333333,1989
b2413,lost in your eyes,debbie gibson,11,12,3,4,2,4,7,13,3,5,56,91,23,12,12.08791209,13.18681319,3.296703297,4.395604396,2.197802198,4.395604396,7.692307692,14.28571429,3.296703297,5.494505495,61.53846154,100,25.27472527,13.18681319,1989
b2414,dont wanna lose you,gloria estefan,12,13,8,5,10,13,9,13,8,9,49,98,25,24,12.24489796,13.26530612,8.163265306,5.102040816,10.20408163,13.26530612,9.183673469,13.26530612,8.163265306,9.183673469,50,100,25.51020408,24.48979592,1989
b2415,heaven,warrant,14,3,0,8,1,0,10,5,2,8,87,145,17,41,9.655172414,2.068965517,0,5.517241379,0.689655172,0,6.896551724,3.448275862,1.379310345,5.517241379,60,100,11.72413793,28.27586207,1989
b2416,girl im gonna miss you,milli vanilli,8,7,4,3,2,8,5,4,2,3,50,107,15,42,7.476635514,6.542056075,3.738317757,2.803738318,1.869158879,7.476635514,4.672897196,3.738317757,1.869158879,2.803738318,46.72897196,100,14.01869159,39.25233645,1989
b2417,the look,roxette,7,14,9,2,9,10,5,13,2,5,178,238,21,39,2.941176471,5.882352941,3.781512605,0.840336134,3.781512605,4.201680672,2.100840336,5.462184874,0.840336134,2.100840336,74.78991597,100,8.823529412,16.38655462,1989
b2418,she drives me crazy,fine young cannibals,3,13,12,5,1,12,1,12,1,1,67,104,16,21,2.884615385,12.5,11.53846154,4.807692308,0.961538462,11.53846154,0.961538462,11.53846154,0.961538462,0.961538462,64.42307692,100,15.38461538,20.19230769,1989
b2419,on our own,bobby brown,12,13,5,3,4,8,10,8,4,9,197,263,25,41,4.562737643,4.942965779,1.901140684,1.140684411,1.520912548,3.041825095,3.802281369,3.041825095,1.520912548,3.422053232,74.90494297,100,9.505703422,15.58935361,1989
b2420,two hearts,phil collins,13,6,4,5,0,4,4,4,1,10,88,146,19,39,8.904109589,4.109589041,2.739726027,3.424657534,0,2.739726027,2.739726027,2.739726027,0.684931507,6.849315068,60.2739726,100,13.01369863,26.71232877,1989
b2421,blame it on the rain,milli vanilli,8,42,34,1,35,0,4,4,1,1,105,217,50,62,3.686635945,19.35483871,15.66820276,0.460829493,16.12903226,0,1.843317972,1.843317972,0.460829493,0.460829493,48.38709677,100,23.04147465,28.57142857,1989
b2422,listen to your heart,roxette,9,5,3,2,1,2,7,4,3,2,73,160,14,73,5.625,3.125,1.875,1.25,0.625,1.25,4.375,2.5,1.875,1.25,45.625,100,8.75,45.625,1989
b2423,ill be there for you,bon jovi,21,25,19,11,11,18,15,17,6,11,72,141,46,23,14.89361702,17.73049645,13.4751773,7.80141844,7.80141844,12.76595745,10.63829787,12.05673759,4.255319149,7.80141844,51.06382979,100,32.62411348,16.31205674,1989
b2424,if you dont know me by now,simply red,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,1989
b2425,like a prayer,madonna,11,13,8,9,8,14,5,13,6,3,113,222,24,85,4.954954955,5.855855856,3.603603604,4.054054054,3.603603604,6.306306306,2.252252252,5.855855856,2.702702703,1.351351351,50.9009009,100,10.81081081,38.28828829,1989
b2426,ill be loving you forever,new kids on the block,26,21,19,3,17,18,23,21,2,21,38,100,47,15,26,21,19,3,17,18,23,21,2,21,38,100,47,15,1989
b2427,how can i fall,breathe,4,28,4,18,3,5,2,26,1,4,44,119,32,43,3.361344538,23.52941176,3.361344538,15.12605042,2.521008403,4.201680672,1.680672269,21.8487395,0.840336134,3.361344538,36.97478992,100,26.8907563,36.13445378,1989
b2428,baby dont forget my number,milli vanilli,11,5,2,2,1,3,11,2,1,1,64,103,16,23,10.67961165,4.854368932,1.941747573,1.941747573,0.970873786,2.912621359,10.67961165,1.941747573,0.970873786,0.970873786,62.13592233,100,15.53398058,22.33009709,1989
b2429,toy soldiers,martika,9,22,6,5,2,5,4,11,0,4,60,147,31,56,6.12244898,14.96598639,4.081632653,3.401360544,1.360544218,3.401360544,2.721088435,7.482993197,0,2.721088435,40.81632653,100,21.08843537,38.0952381,1989
b2430,forever your girl,paula abdul,24,9,5,3,6,5,21,7,2,9,155,239,33,51,10.041841,3.765690377,2.092050209,1.255230126,2.510460251,2.092050209,8.786610879,2.928870293,0.836820084,3.765690377,64.85355649,100,13.80753138,21.33891213,1989
b2431,the living years,mike  the mechanics,11,16,9,7,3,9,5,9,3,7,78,148,27,43,7.432432432,10.81081081,6.081081081,4.72972973,2.027027027,6.081081081,3.378378378,6.081081081,2.027027027,4.72972973,52.7027027,100,18.24324324,29.05405405,1989
b2432,eternal flame,the bangles,14,13,11,5,6,14,10,13,6,10,31,110,27,52,12.72727273,11.81818182,10,4.545454545,5.454545455,12.72727273,9.090909091,11.81818182,5.454545455,9.090909091,28.18181818,100,24.54545455,47.27272727,1989
b2433,wild thing,tone loc,16,15,4,10,3,2,13,3,16,8,137,221,31,53,7.239819005,6.787330317,1.809954751,4.524886878,1.357466063,0.904977376,5.882352941,1.357466063,7.239819005,3.619909502,61.99095023,100,14.02714932,23.98190045,1989
b2434,when i see you smile,bad english,24,13,4,3,2,10,24,9,14,14,110,171,37,24,14.03508772,7.602339181,2.339181287,1.754385965,1.169590643,5.847953216,14.03508772,5.263157895,8.187134503,8.187134503,64.32748538,100,21.6374269,14.03508772,1989
b2435,if i could turn back time,cher,9,19,12,9,0,7,9,11,0,2,112,199,28,59,4.522613065,9.547738693,6.030150754,4.522613065,0,3.51758794,4.522613065,5.527638191,0,1.005025126,56.28140704,100,14.07035176,29.64824121,1989
b2436,buffalo stance,neneh cherry,41,23,16,20,14,18,30,20,20,20,133,289,64,92,14.18685121,7.958477509,5.53633218,6.920415225,4.844290657,6.228373702,10.38062284,6.920415225,6.920415225,6.920415225,46.02076125,100,22.14532872,31.83391003,1989
b2437,when im with you,sheriff,11,3,0,3,0,0,11,3,2,4,55,84,14,15,13.0952381,3.571428571,0,3.571428571,0,0,13.0952381,3.571428571,2.380952381,4.761904762,65.47619048,100,16.66666667,17.85714286,1989
b2438,dont rush me,taylor dayne,17,14,3,5,2,5,11,11,0,2,93,153,31,29,11.11111111,9.150326797,1.960784314,3.267973856,1.307189542,3.267973856,7.189542484,7.189542484,0,1.307189542,60.78431373,100,20.26143791,18.95424837,1989
b2439,born to be my baby,bon jovi,18,5,2,8,6,6,14,5,2,3,108,181,23,50,9.944751381,2.762430939,1.104972376,4.419889503,3.314917127,3.314917127,7.73480663,2.762430939,1.104972376,1.657458564,59.66850829,100,12.70718232,27.62430939,1989
b2440,good thing,fine young cannibals,11,3,1,11,0,0,10,1,8,10,50,91,14,27,12.08791209,3.296703297,1.098901099,12.08791209,0,0,10.98901099,1.098901099,8.791208791,10.98901099,54.94505495,100,15.38461538,29.67032967,1989
b2441,the lover in me,sheena easton,77,7,12,31,4,4,36,6,10,30,122,241,84,35,31.95020747,2.904564315,4.979253112,12.86307054,1.659751037,1.659751037,14.93775934,2.489626556,4.149377593,12.44813278,50.62240664,100,34.85477178,14.52282158,1989
b2442,bust a move,young mc,35,14,10,19,4,4,27,8,11,21,182,331,49,100,10.57401813,4.229607251,3.021148036,5.740181269,1.208459215,1.208459215,8.157099698,2.416918429,3.32326284,6.344410876,54.98489426,100,14.80362538,30.21148036,1989
b2443,once bitten twice shy,great white,17,6,0,4,3,2,10,3,1,3,127,194,23,44,8.762886598,3.092783505,0,2.06185567,1.546391753,1.030927835,5.154639175,1.546391753,0.515463918,1.546391753,65.46391753,100,11.8556701,22.68041237,1989
b2444,batdance,prince,8,15,4,4,3,11,8,14,4,4,182,258,23,53,3.100775194,5.813953488,1.550387597,1.550387597,1.162790698,4.263565891,3.100775194,5.426356589,1.550387597,1.550387597,70.54263566,100,8.914728682,20.54263566,1989
b2445,rock on,michael damian,8,1,1,0,0,1,2,3,1,0,25,52,9,18,15.38461538,1.923076923,1.923076923,0,0,1.923076923,3.846153846,5.769230769,1.923076923,0,48.07692308,100,17.30769231,34.61538462,1989
b2446,real love,jody watley,70,14,1,3,3,11,39,12,1,34,124,223,84,15,31.39013453,6.278026906,0.448430493,1.34529148,1.34529148,4.932735426,17.48878924,5.381165919,0.448430493,15.24663677,55.60538117,100,37.66816143,6.726457399,1989
b2447,love shack,the b52s,74,66,23,1,70,23,77,65,22,1,101,300,140,59,24.66666667,22,7.666666667,0.333333333,23.33333333,7.666666667,25.66666667,21.66666667,7.333333333,0.333333333,33.66666667,100,46.66666667,19.66666667,1989
b2448,every little step,bobby brown,17,5,1,4,0,1,14,4,3,12,156,239,22,61,7.112970711,2.092050209,0.418410042,1.673640167,0,0.418410042,5.857740586,1.673640167,1.255230126,5.020920502,65.27196653,100,9.205020921,25.52301255,1989
b2449,hangin tough,new kids on the block,1,27,3,4,1,3,0,23,1,1,149,189,28,12,0.529100529,14.28571429,1.587301587,2.116402116,0.529100529,1.587301587,0,12.16931217,0.529100529,0.529100529,78.83597884,100,14.81481481,6.349206349,1989
b2450,my heart cant tell you no,rod stewart,16,23,15,12,12,19,9,22,4,2,94,169,39,36,9.467455621,13.60946746,8.875739645,7.100591716,7.100591716,11.24260355,5.325443787,13.01775148,2.366863905,1.183431953,55.62130178,100,23.07692308,21.30177515,1989
b2451,so alive,love and rockets,13,3,2,13,0,2,12,2,0,9,30,64,16,18,20.3125,4.6875,3.125,20.3125,0,3.125,18.75,3.125,0,14.0625,46.875,100,25,28.125,1989
b2452,you got it the right stuff,new kids on the block,21,2,1,12,0,1,17,3,7,4,163,218,23,32,9.633027523,0.917431193,0.458715596,5.504587156,0,0.458715596,7.798165138,1.376146789,3.211009174,1.834862385,74.7706422,100,10.55045872,14.67889908,1989
b2453,armageddon it,def leppard,9,4,4,6,1,2,5,0,1,3,188,244,13,43,3.68852459,1.639344262,1.639344262,2.459016393,0.409836066,0.819672131,2.049180328,0,0.409836066,1.229508197,77.04918033,100,5.327868852,17.62295082,1989
b2454,satisfied,richard marx,9,4,1,8,0,1,6,2,1,2,56,98,13,29,9.183673469,4.081632653,1.020408163,8.163265306,0,1.020408163,6.12244898,2.040816327,1.020408163,2.040816327,57.14285714,100,13.26530612,29.59183673,1989
b2455,express yourself,madonna,29,2,2,11,1,1,25,3,0,9,124,223,31,68,13.0044843,0.896860987,0.896860987,4.932735426,0.448430493,0.448430493,11.21076233,1.34529148,0,4.035874439,55.60538117,100,13.90134529,30.49327354,1989
b2456,i like it,dino,19,2,1,8,1,3,12,2,8,9,147,204,21,36,9.31372549,0.980392157,0.490196078,3.921568627,0.490196078,1.470588235,5.882352941,0.980392157,3.921568627,4.411764706,72.05882353,100,10.29411765,17.64705882,1989
b2457,soldier of love,donny osmond,20,20,28,2,5,20,6,29,10,0,122,214,40,52,9.345794393,9.345794393,13.08411215,0.934579439,2.336448598,9.345794393,2.803738318,13.55140187,4.672897196,0,57.00934579,100,18.69158879,24.29906542,1989
b2458,sowing the seeds of love,tears for fears,64,14,10,4,3,7,51,4,3,7,88,276,78,110,23.1884058,5.072463768,3.623188406,1.449275362,1.086956522,2.536231884,18.47826087,1.449275362,1.086956522,2.536231884,31.88405797,100,28.26086957,39.85507246,1989
b2459,cherish,madonna,52,19,2,34,8,8,42,8,21,30,116,232,71,45,22.4137931,8.189655172,0.862068966,14.65517241,3.448275862,3.448275862,18.10344828,3.448275862,9.051724138,12.93103448,50,100,30.60344828,19.39655172,1989
b2460,when the children cry,white lion,23,12,6,15,1,9,16,11,1,11,49,101,35,17,22.77227723,11.88118812,5.940594059,14.85148515,0.99009901,8.910891089,15.84158416,10.89108911,0.99009901,10.89108911,48.51485149,100,34.65346535,16.83168317,1989
b2461,18 and life,skid row,9,12,12,14,3,3,7,3,5,5,84,148,21,43,6.081081081,8.108108108,8.108108108,9.459459459,2.027027027,2.027027027,4.72972973,2.027027027,3.378378378,3.378378378,56.75675676,100,14.18918919,29.05405405,1989
b2462,i dont want your love,duran duran,31,1,0,4,0,0,25,0,4,3,92,150,32,26,20.66666667,0.666666667,0,2.666666667,0,0,16.66666667,0,2.666666667,2,61.33333333,100,21.33333333,17.33333333,1989
b2463,second chance,38 special,13,13,0,1,0,0,9,4,14,1,123,196,26,47,6.632653061,6.632653061,0,0.510204082,0,0,4.591836735,2.040816327,7.142857143,0.510204082,62.75510204,100,13.26530612,23.97959184,1989
b2464,the way you love me,karyn white,86,6,4,12,1,3,86,3,7,13,112,236,92,32,36.44067797,2.542372881,1.694915254,5.084745763,0.423728814,1.271186441,36.44067797,1.271186441,2.966101695,5.508474576,47.45762712,100,38.98305085,13.55932203,1989
b2465,funky cold medina,tone loc,11,24,6,10,5,7,8,8,7,7,149,241,35,57,4.564315353,9.958506224,2.489626556,4.149377593,2.074688797,2.904564315,3.319502075,3.319502075,2.904564315,2.904564315,61.82572614,100,14.52282158,23.65145228,1989
b2466,in your room,the bangles,14,7,5,11,4,5,14,6,7,9,55,110,21,34,12.72727273,6.363636364,4.545454545,10,3.636363636,4.545454545,12.72727273,5.454545455,6.363636364,8.181818182,50,100,19.09090909,30.90909091,1989
b2467,miss you like crazy,natalie cole,28,20,16,12,2,16,23,17,9,12,78,164,48,38,17.07317073,12.19512195,9.756097561,7.317073171,1.219512195,9.756097561,14.02439024,10.36585366,5.487804878,7.317073171,47.56097561,100,29.26829268,23.17073171,1989
b2468,lovesong,the cure,11,2,2,4,0,0,11,0,1,1,47,76,13,16,14.47368421,2.631578947,2.631578947,5.263157895,0,0,14.47368421,0,1.315789474,1.315789474,61.84210526,100,17.10526316,21.05263158,1989
b2469,secret rendezvous,karyn white,6,9,2,19,2,8,5,7,0,14,84,217,15,118,2.764976959,4.147465438,0.921658986,8.755760369,0.921658986,3.686635945,2.304147465,3.225806452,0,6.451612903,38.70967742,100,6.912442396,54.37788018,1989
b2470,angel eyes,the jeff healey band,13,5,4,7,3,5,12,4,7,6,77,125,18,30,10.4,4,3.2,5.6,2.4,4,9.6,3.2,5.6,4.8,61.6,100,14.4,24,1989
b2471,patience,guns n roses,20,6,3,21,3,5,3,4,2,15,112,171,26,33,11.69590643,3.50877193,1.754385965,12.28070175,1.754385965,2.923976608,1.754385965,2.339181287,1.169590643,8.771929825,65.49707602,100,15.20467836,19.29824561,1989
b2472,walk on water,eddie money,20,10,5,6,5,5,13,7,4,3,125,214,30,59,9.345794393,4.672897196,2.336448598,2.803738318,2.336448598,2.336448598,6.074766355,3.271028037,1.869158879,1.401869159,58.41121495,100,14.01869159,27.57009346,1989
b2473,cover girl,new kids on the block,4,1,0,4,0,0,4,1,3,16,148,199,5,46,2.010050251,0.502512563,0,2.010050251,0,0,2.010050251,0.502512563,1.507537688,8.040201005,74.3718593,100,2.512562814,23.11557789,1989
b2474,welcome to the jungle,guns n roses,8,1,1,12,0,28,4,1,1,2,80,157,9,68,5.095541401,0.636942675,0.636942675,7.643312102,0,17.8343949,2.547770701,0.636942675,0.636942675,1.27388535,50.95541401,100,5.732484076,43.31210191,1989
b2475,shower me with your love,surface,26,4,2,7,2,3,21,3,2,2,44,106,30,32,24.52830189,3.773584906,1.886792453,6.603773585,1.886792453,2.830188679,19.81132075,2.830188679,1.886792453,1.886792453,41.50943396,100,28.30188679,30.18867925,1989
b2476,stand,rem,8,2,4,5,4,0,5,2,5,10,72,156,10,74,5.128205128,1.282051282,2.564102564,3.205128205,2.564102564,0,3.205128205,1.282051282,3.205128205,6.41025641,46.15384615,100,6.41025641,47.43589744,1989
b2477,close my eyes forever,lita ford and ozzy osbourne,4,5,2,0,2,4,3,4,0,2,58,106,9,39,3.773584906,4.716981132,1.886792453,0,1.886792453,3.773584906,2.830188679,3.773584906,0,1.886792453,54.71698113,100,8.490566038,36.79245283,1989
b2478,all this time,tiffany,12,5,0,16,0,0,9,5,8,7,37,85,17,31,14.11764706,5.882352941,0,18.82352941,0,0,10.58823529,5.882352941,9.411764706,8.235294118,43.52941176,100,20,36.47058824,1989
b2479,after all,cher and peter cetera,7,5,0,15,0,2,7,4,10,4,70,124,12,42,5.64516129,4.032258065,0,12.09677419,0,1.612903226,5.64516129,3.225806452,8.064516129,3.225806452,56.4516129,100,9.677419355,33.87096774,1989
b2480,roni,bobby brown,69,9,6,13,2,7,59,11,16,38,157,303,78,68,22.77227723,2.97029703,1.98019802,4.290429043,0.660066007,2.310231023,19.47194719,3.630363036,5.280528053,12.54125413,51.81518152,100,25.74257426,22.44224422,1989
b2481,love in an elevator,aerosmith,17,6,3,6,2,2,10,3,2,4,69,127,23,35,13.38582677,4.724409449,2.362204724,4.724409449,1.57480315,1.57480315,7.874015748,2.362204724,1.57480315,3.149606299,54.33070866,100,18.11023622,27.55905512,1989
b2482,lay your hands on me,bon jovi,6,1,0,3,0,2,5,3,0,8,113,219,7,99,2.739726027,0.456621005,0,1.369863014,0,0.913242009,2.283105023,1.369863014,0,3.652968037,51.59817352,100,3.196347032,45.20547945,1989
b2483,the promise,when in rome,25,23,13,4,5,9,24,13,1,25,76,152,48,28,16.44736842,15.13157895,8.552631579,2.631578947,3.289473684,5.921052632,15.78947368,8.552631579,0.657894737,16.44736842,50,100,31.57894737,18.42105263,1989
b2484,what i am,edie brickell  new bohemians,2,8,8,0,0,0,1,8,1,3,81,115,10,24,1.739130435,6.956521739,6.956521739,0,0,0,0.869565217,6.956521739,0.869565217,2.608695652,70.43478261,100,8.695652174,20.86956522,1989
b2485,i remember holding you,boys club,8,10,3,4,3,3,4,5,4,3,58,116,18,40,6.896551724,8.620689655,2.586206897,3.448275862,2.586206897,2.586206897,3.448275862,4.310344828,3.448275862,2.586206897,50,100,15.51724138,34.48275862,1989
b2486,paradise city,guns n roses,36,20,7,33,2,13,31,13,3,31,171,312,56,85,11.53846154,6.41025641,2.243589744,10.57692308,0.641025641,4.166666667,9.935897436,4.166666667,0.961538462,9.935897436,54.80769231,100,17.94871795,27.24358974,1989
b2487,i wanna have some fun,samantha fox,15,10,4,11,3,5,11,7,2,2,87,143,25,31,10.48951049,6.993006993,2.797202797,7.692307692,2.097902098,3.496503497,7.692307692,4.895104895,1.398601399,1.398601399,60.83916084,100,17.48251748,21.67832168,1989
b2488,she wants to dance with me,rick astley,14,11,10,2,7,10,14,9,3,11,69,100,25,6,14,11,10,2,7,10,14,9,3,11,69,100,25,6,1989
b2489,dreamin,vanessa williams,7,16,11,3,5,11,6,10,1,1,88,176,23,65,3.977272727,9.090909091,6.25,1.704545455,2.840909091,6.25,3.409090909,5.681818182,0.568181818,0.568181818,50,100,13.06818182,36.93181818,1989
b2490,its no crime,babyface,21,11,9,11,0,2,19,4,3,5,85,150,32,33,14,7.333333333,6,7.333333333,0,1.333333333,12.66666667,2.666666667,2,3.333333333,56.66666667,100,21.33333333,22,1989
b2491,poison,alice cooper,9,53,27,4,24,52,7,48,11,1,78,196,62,56,4.591836735,27.04081633,13.7755102,2.040816327,12.24489796,26.53061224,3.571428571,24.48979592,5.612244898,0.510204082,39.79591837,100,31.63265306,28.57142857,1989
b2492,this time i know its for real,donna summer,11,8,7,16,0,6,9,6,3,1,73,126,19,34,8.73015873,6.349206349,5.555555556,12.6984127,0,4.761904762,7.142857143,4.761904762,2.380952381,0.793650794,57.93650794,100,15.07936508,26.98412698,1989
b2493,smooth criminal,michael jackson,9,7,3,5,0,2,9,2,7,5,185,234,16,33,3.846153846,2.991452991,1.282051282,2.136752137,0,0.854700855,3.846153846,0.854700855,2.991452991,2.136752137,79.05982906,100,6.837606838,14.1025641,1989
b2494,heaven help me,deon estus,8,8,0,10,4,4,6,2,2,2,73,107,16,18,7.476635514,7.476635514,0,9.345794393,3.738317757,3.738317757,5.607476636,1.869158879,1.869158879,1.869158879,68.22429907,100,14.95327103,16.82242991,1989
b2495,rock witcha,bobby brown,35,18,3,14,1,17,20,18,4,6,103,205,53,49,17.07317073,8.780487805,1.463414634,6.829268293,0.487804878,8.292682927,9.756097561,8.780487805,1.951219512,2.926829268,50.24390244,100,25.85365854,23.90243902,1989
b2496,thinking of you,safire,3,8,3,5,3,7,3,5,2,3,103,147,11,33,2.040816327,5.442176871,2.040816327,3.401360544,2.040816327,4.761904762,2.040816327,3.401360544,1.360544218,2.040816327,70.06802721,100,7.482993197,22.44897959,1989
b2497,what you dont know,expose,13,22,17,15,3,25,10,20,2,4,147,206,35,24,6.310679612,10.67961165,8.252427184,7.281553398,1.45631068,12.13592233,4.854368932,9.708737864,0.970873786,1.941747573,71.3592233,100,16.99029126,11.65048544,1989
b2498,surrender to me,ann wilson and robin zander,13,18,4,4,3,13,11,12,1,2,48,93,31,14,13.97849462,19.35483871,4.301075269,4.301075269,3.225806452,13.97849462,11.82795699,12.90322581,1.075268817,2.150537634,51.61290323,100,33.33333333,15.05376344,1989
b2499,the end of the innocence,don henley,23,14,12,9,7,13,5,8,1,4,60,158,37,61,14.55696203,8.860759494,7.594936709,5.696202532,4.430379747,8.227848101,3.164556962,5.063291139,0.632911392,2.53164557,37.97468354,100,23.41772152,38.60759494,1989
b2500,keep on movin,soul ii soul,5,1,0,23,0,2,5,1,3,4,136,212,6,70,2.358490566,0.471698113,0,10.8490566,0,0.943396226,2.358490566,0.471698113,1.41509434,1.886792453,64.1509434,100,2.830188679,33.01886792,1989
b2501,hold on,wilson phillips,7,11,1,3,2,13,5,9,3,0,111,205,18,76,3.414634146,5.365853659,0.487804878,1.463414634,0.975609756,6.341463415,2.43902439,4.390243902,1.463414634,0,54.14634146,100,8.780487805,37.07317073,1990
b2502,it must have been love,roxette,22,6,1,4,1,1,19,4,3,3,55,109,28,26,20.18348624,5.504587156,0.917431193,3.669724771,0.917431193,0.917431193,17.43119266,3.669724771,2.752293578,2.752293578,50.4587156,100,25.68807339,23.85321101,1990
