,title,artist,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,unknown,total_number_of_words,emotional_impact_words,neutral_words,norm_positive,norm_negative,norm_anger,norm_anticipation,norm_disgust,norm_fear,norm_joy,norm_sadness,norm_surprise,norm_trust,norm_unknown,norm_total_number_of_words,norm_emotional_impact_words,norm_neutral_words
ML123,lightnin strikes,lou christie,16,7,6,5,3,6,6,3,5,1,0,126,23,103,12.698412698412698,5.555555555555555,4.761904761904762,3.9682539682539684,2.380952380952381,4.761904761904762,4.761904761904762,2.380952380952381,3.9682539682539684,0.7936507936507936,0.0,100.0,18.253968253968253,0
ML124,wild thing,the troggs,6,9,0,4,0,2,6,6,7,4,0,59,15,44,10.169491525423728,15.254237288135593,0.0,6.779661016949152,0.0,3.389830508474576,10.169491525423728,10.169491525423728,11.864406779661017,6.779661016949152,0.0,100.0,25.423728813559322,0
ML125,kicks,paul revere  the raiders,6,14,10,6,0,0,6,5,0,7,0,152,20,132,3.9473684210526314,9.210526315789474,6.578947368421052,3.9473684210526314,0.0,0.0,3.9473684210526314,3.289473684210526,0.0,4.605263157894737,0.0,100.0,13.157894736842104,0
ML126,sunshine superman,donovan,12,6,4,2,3,3,7,3,2,2,0,122,18,104,9.836065573770492,4.918032786885246,3.278688524590164,1.639344262295082,2.459016393442623,2.459016393442623,5.737704918032787,2.459016393442623,1.639344262295082,1.639344262295082,0.0,100.0,14.754098360655737,0
ML127,sunny,bobby hebb,26,2,0,12,0,2,20,2,13,7,0,90,28,62,28.88888888888889,2.2222222222222223,0.0,13.333333333333334,0.0,2.2222222222222223,22.22222222222222,2.2222222222222223,14.444444444444445,7.777777777777778,0.0,100.0,31.11111111111111,0
ML128,paperback writer,the beatles,31,3,1,2,3,2,0,1,2,2,0,118,34,84,26.271186440677965,2.542372881355932,0.847457627118644,1.694915254237288,2.542372881355932,1.694915254237288,0.0,0.847457627118644,1.694915254237288,1.694915254237288,0.0,100.0,28.8135593220339,0
ML129,see you in september,the happenings,14,11,7,24,7,9,14,9,4,2,0,123,25,98,11.382113821138212,8.94308943089431,5.691056910569106,19.51219512195122,5.691056910569106,7.317073170731708,11.382113821138212,7.317073170731708,3.252032520325203,1.6260162601626016,0.0,100.0,20.32520325203252,0
ML130,you keep me hangin on,the supremes,6,3,0,1,0,3,6,3,1,3,0,143,9,134,4.195804195804196,2.097902097902098,0.0,0.6993006993006993,0.0,2.097902097902098,4.195804195804196,2.097902097902098,0.6993006993006993,2.097902097902098,0.0,100.0,6.293706293706293,0
ML131,lil red riding hood,sam the sham and the pharaohs,8,18,17,4,17,15,7,7,3,5,0,159,26,133,5.031446540880503,11.320754716981131,10.69182389937107,2.5157232704402515,10.69182389937107,9.433962264150944,4.40251572327044,4.40251572327044,1.8867924528301887,3.1446540880503147,0.0,100.0,16.352201257861637,0
ML133,good vibrations,the beach boys,64,1,16,50,0,16,54,0,51,38,0,224,65,159,28.571428571428573,0.44642857142857145,7.142857142857143,22.321428571428573,0.0,7.142857142857143,24.107142857142858,0.0,22.767857142857142,16.964285714285715,0.0,100.0,29.017857142857142,0
ML134,a groovy kind of love,the mindbenders,21,5,4,5,2,5,18,8,4,8,0,85,26,59,24.705882352941178,5.882352941176471,4.705882352941177,5.882352941176471,2.3529411764705883,5.882352941176471,21.176470588235293,9.411764705882353,4.705882352941177,9.411764705882353,0.0,100.0,30.58823529411765,0
ML135,you dont have to say you love me,dusty springfield,4,3,1,0,1,2,4,3,0,0,0,76,7,69,5.2631578947368425,3.9473684210526314,1.3157894736842106,0.0,1.3157894736842106,2.6315789473684212,5.2631578947368425,3.9473684210526314,0.0,0.0,0.0,100.0,9.210526315789474,0
ML136,cool jerk,the capitols,22,2,17,1,2,1,1,1,19,3,0,129,24,105,17.05426356589147,1.550387596899225,13.178294573643411,0.7751937984496124,1.550387596899225,0.7751937984496124,0.7751937984496124,0.7751937984496124,14.728682170542635,2.3255813953488373,0.0,100.0,18.6046511627907,0
ML137,born a woman,sandy posey,5,4,3,3,2,3,4,3,2,2,0,62,9,53,8.064516129032258,6.451612903225806,4.838709677419355,4.838709677419355,3.225806451612903,4.838709677419355,6.451612903225806,4.838709677419355,3.225806451612903,3.225806451612903,0.0,100.0,14.516129032258064,0
ML138,red rubber ball,the cyrkle,7,1,1,6,0,0,5,0,4,7,0,114,8,106,6.140350877192983,0.8771929824561403,0.8771929824561403,5.2631578947368425,0.0,0.0,4.385964912280702,0.0,3.508771929824561,6.140350877192983,0.0,100.0,7.017543859649122,0
ML139,baby,carla thomas,34,2,0,8,0,0,30,0,6,10,0,97,36,61,35.05154639175258,2.0618556701030926,0.0,8.24742268041237,0.0,0.0,30.927835051546392,0.0,6.185567010309279,10.309278350515465,0.0,100.0,37.11340206185567,0
ML140,walk away renee,the left banke,0,7,1,4,1,3,0,4,0,0,0,88,7,81,0.0,7.954545454545454,1.1363636363636365,4.545454545454546,1.1363636363636365,3.409090909090909,0.0,4.545454545454546,0.0,0.0,0.0,100.0,7.954545454545454,0
ML141,daydream,the lovin spoonful,10,10,5,12,5,2,8,4,5,7,0,99,20,79,10.1010101010101,10.1010101010101,5.05050505050505,12.121212121212121,5.05050505050505,2.0202020202020203,8.080808080808081,4.040404040404041,5.05050505050505,7.070707070707071,0.0,100.0,20.2020202020202,0
ML142,time wont let me,the outsiders,1,42,0,71,0,0,1,0,0,0,0,110,43,67,0.9090909090909091,38.18181818181818,0.0,64.54545454545455,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,100.0,39.09090909090909,0
ML143,hooray for hazel,tommy roe,8,12,5,5,5,5,6,9,6,1,0,126,20,106,6.349206349206349,9.523809523809524,3.9682539682539684,3.9682539682539684,3.9682539682539684,3.9682539682539684,4.761904761904762,7.142857142857143,4.761904761904762,0.7936507936507936,0.0,100.0,15.873015873015873,0
ML144,sweet pea,tommy roe,29,1,1,30,1,1,29,1,14,26,0,124,30,94,23.387096774193548,0.8064516129032258,0.8064516129032258,24.193548387096776,0.8064516129032258,0.8064516129032258,23.387096774193548,0.8064516129032258,11.290322580645162,20.967741935483872,0.0,100.0,24.193548387096776,0
ML145,bus stop,the hollies,13,5,2,7,0,3,10,1,3,9,0,115,18,97,11.304347826086957,4.3478260869565215,1.7391304347826086,6.086956521739131,0.0,2.608695652173913,8.695652173913043,0.8695652173913043,2.608695652173913,7.826086956521739,0.0,100.0,15.652173913043478,0
ML146,im your puppet,james  bobby purify,13,13,11,5,12,11,10,13,6,6,0,104,26,78,12.5,12.5,10.576923076923077,4.8076923076923075,11.538461538461538,10.576923076923077,9.615384615384615,12.5,5.769230769230769,5.769230769230769,0.0,100.0,25.0,0
ML147,im so lonesome i could cry,bj thomas,2,9,0,3,0,1,1,10,0,1,0,55,11,44,3.6363636363636362,16.363636363636363,0.0,5.454545454545454,0.0,1.8181818181818181,1.8181818181818181,18.181818181818183,0.0,1.8181818181818181,0.0,100.0,20.0,0
ML148,aint too proud to beg,the temptations,28,19,0,10,1,2,26,19,12,13,0,156,47,109,17.94871794871795,12.179487179487179,0.0,6.410256410256411,0.6410256410256411,1.2820512820512822,16.666666666666668,12.179487179487179,7.6923076923076925,8.333333333333334,0.0,100.0,30.128205128205128,0
ML149,dirty water,the standells,18,14,4,2,12,3,17,3,1,3,0,128,32,96,14.0625,10.9375,3.125,1.5625,9.375,2.34375,13.28125,2.34375,0.78125,2.34375,0.0,100.0,25.0,0
